<<<<<<< HEAD
flight_origin,flight_destination,distance,time_depart,time_arrive,ticket_price
New York,Los Angeles,2475,06/01/2023 10:30 AM,06/01/2023 4:05 PM,$350
Chicago,Houston,925,06/01/2023 12:45 PM,06/01/2023 3:20 PM,$175
Miami,Denver,2044,06/02/2023 8:15 AM,06/02/2023 1:55 PM,$420
San Francisco,Seattle,679,06/02/2023 11:20 AM,06/02/2023 1:35 PM,$125
Los Angeles,New York,2475,06/03/2023 9:00 AM,06/03/2023 5:00 PM,$400
Denver,Miami,2044,06/03/2023 12:30 PM,06/03/2023 6:00 PM,$380
Seattle,Chicago,1721,06/04/2023 10:00 AM,06/04/2023 4:45 PM,$310
Houston,San Francisco,1645,06/04/2023 2:00 PM,06/04/2023 6:35 PM,$360
New York,Los Angeles,2475,06/05/2023 10:30 AM,06/05/2023 4:05 PM,$350
Chicago,Houston,925,06/06/2023 12:45 PM,06/06/2023 3:20 PM,$175
Miami,Denver,2044,06/07/2023 8:15 AM,06/07/2023 1:55 PM,$420
San Francisco,Seattle,679,06/08/2023 11:20 AM,06/08/2023 1:35 PM,$125
Los Angeles,New York,2475,06/09/2023 9:00 AM,06/09/2023 5:00 PM,$400
Denver,Miami,2044,06/10/2023 12:30 PM,06/10/2023 6:00 PM,$380
Seattle,Chicago,1721,06/11/2023 10:00 AM,06/11/2023 4:45 PM,$310
Houston,San Francisco,1645,06/12/2023 2:00 PM,06/12/2023 6:35 PM,$360
New York,Miami,1096,06/13/2023 8:00 AM,06/13/2023 11:45 AM,$200
Los Angeles,Chicago,1744,06/14/2023 11:30 AM,06/14/2023 6:20 PM,$420
Seattle,Miami,2734,06/15/2023 2:00 PM,06/15/2023 9:30 PM,$650
Denver,New York,1620,06/16/2023 12:00 PM,06/16/2023 7:10 PM,$420
Houston,Seattle,1874,06/17/2023 8:45 AM,06/17/2023 1:55 PM,$300
Chicago,San Francisco,1846,06/18/2023 9:00 AM,06/18/2023 2:55 PM,$450
=======
flight_origin,flight_destination,distance,time_depart,time_arrive,ticket_price
New York,Los Angeles,2475,06/01/2023 10:30 AM,06/01/2023 4:05 PM,$350
Chicago,Houston,925,06/01/2023 12:45 PM,06/01/2023 3:20 PM,$175
Miami,Denver,2044,06/02/2023 8:15 AM,06/02/2023 1:55 PM,$420
San Francisco,Seattle,679,06/02/2023 11:20 AM,06/02/2023 1:35 PM,$125
Los Angeles,New York,2475,06/03/2023 9:00 AM,06/03/2023 5:00 PM,$400
Denver,Miami,2044,06/03/2023 12:30 PM,06/03/2023 6:00 PM,$380
Seattle,Chicago,1721,06/04/2023 10:00 AM,06/04/2023 4:45 PM,$310
Houston,San Francisco,1645,06/04/2023 2:00 PM,06/04/2023 6:35 PM,$360
New York,Los Angeles,2475,06/05/2023 10:30 AM,06/05/2023 4:05 PM,$350
Chicago,Houston,925,06/06/2023 12:45 PM,06/06/2023 3:20 PM,$175
Miami,Denver,2044,06/07/2023 8:15 AM,06/07/2023 1:55 PM,$420
San Francisco,Seattle,679,06/08/2023 11:20 AM,06/08/2023 1:35 PM,$125
Los Angeles,New York,2475,06/09/2023 9:00 AM,06/09/2023 5:00 PM,$400
Denver,Miami,2044,06/10/2023 12:30 PM,06/10/2023 6:00 PM,$380
Seattle,Chicago,1721,06/11/2023 10:00 AM,06/11/2023 4:45 PM,$310
Houston,San Francisco,1645,06/12/2023 2:00 PM,06/12/2023 6:35 PM,$360
New York,Miami,1096,06/13/2023 8:00 AM,06/13/2023 11:45 AM,$200
Los Angeles,Chicago,1744,06/14/2023 11:30 AM,06/14/2023 6:20 PM,$420
Seattle,Miami,2734,06/15/2023 2:00 PM,06/15/2023 9:30 PM,$650
Denver,New York,1620,06/16/2023 12:00 PM,06/16/2023 7:10 PM,$420
Houston,Seattle,1874,06/17/2023 8:45 AM,06/17/2023 1:55 PM,$300
Chicago,San Francisco,1846,06/18/2023 9:00 AM,06/18/2023 2:55 PM,$450
>>>>>>> 209264942ecab3fd6739e1e3a894015cbee61268
Miami,Los Angeles,2342,06/19/2023 10:15 AM,06/19/2023 5:10 PM,$480
